特徵方法,Cold 10%,Cold 20%,Cold 40%
M0: Degree Stats,0.5857 ± 0.0077,0.5681 ± 0.0208,0.5573 ± 0.0160
M1: TF-IDF,0.7733 ± 0.0254,0.7501 ± 0.0288,0.7471 ± 0.0268
llm_embed_lora+GNN,0.5868 ± 0.0098,0.5787 ± 0.0045,0.5773 ± 0.0184
Degree+LoRA-LLM+GNN,0.6544 ± 0.0339,0.6134 ± 0.0273,0.6049 ± 0.0281
